District,Crop,Year,Area,Production,Yield,RH2M,GWETTOP,T2M_MAX,T2M_MIN,GWETROOT,WS2M_MAX,WS2M_MIN,PRECTOTCORR
Kaski,Barley,200506,194,250,1289,60.38,0.58,34.5,4.66,0.53,5.95,0.02,5.27
Kaski,Barley,200607,194,180,928,62.38,0.61,34.9,2.48,0.59,5.22,0.01,5.27
Kaski,Barley,200708,166,148,892,63.62,0.63,34.67,2.28,0.62,5.41,0.02,5.27
Kaski,Barley,200809,160,150,938,56.38,0.55,35.14,4.27,0.52,6.72,0.02,5.27
Kaski,Barley,200910,137,115,839,57.25,0.52,37.01,5.39,0.54,6.17,0.02,5.27
Kaski,Barley,201011,129,109,845,62.75,0.6,33.64,4.03,0.58,5.49,0.01,5.27
Kaski,Barley,201112,138,121,877,57.12,0.57,38.28,3.6,0.56,5.98,0.01,5.27
Kaski,Barley,201213,131,113,863,66,0.67,34.83,-1.22,0.66,6.23,0.03,5.27
Kaski,Barley,201314,130,110,846,62.62,0.67,35.74,4.59,0.65,6.3,0.04,5.27
Kaski,Maize,197980,9100,8190,900,59.38,0.6,36.98,3.71,0.56,6.31,0.04,5.27
Kaski,Maize,198081,9120,14500,1590,55,0.5,35.91,3.42,0.47,6.01,0.03,0
Kaski,Maize,198182,9100,9900,1088,49.06,0.4,38.98,2.84,0.42,7.74,0.03,0
Kaski,Maize,198283,10480,18870,1801,50.88,0.47,38.17,3.18,0.48,6.43,0.02,0
Kaski,Maize,198384,10510,9010,857,53,0.46,37.25,4.9,0.47,6.65,0,0
Kaski,Maize,198485,11630,13980,1202,47.88,0.41,36.37,4.46,0.43,6.48,0.02,0
Kaski,Maize,198586,15400,20000,1299,48.5,0.44,37.71,4.52,0.45,5.97,0.02,0
Kaski,Maize,198687,15450,20100,1301,52.75,0.49,38.06,5.67,0.48,5.81,0.02,5.27
Kaski,Maize,198788,15930,21170,1329,48.25,0.41,38.12,2.28,0.44,7.13,0.03,0
Kaski,Maize,198889,15550,22260,1432,53.44,0.48,37.65,3.56,0.51,6.42,0.02,0
Kaski,Maize,199091,15450,24010,1554,47.25,0.38,37.31,3.23,0.41,5.9,0,0
Kaski,Maize,199192,15400,24000,1558,47.44,0.39,36.87,3.59,0.43,8.16,0.01,0
Kaski,Maize,199293,15450,24720,1600,46.31,0.38,37.81,2.58,0.41,6.53,0.02,0
Kaski,Maize,199394,13050,20880,1600,45.31,0.35,38.08,3.93,0.41,6.32,0.02,0
Kaski,Maize,199495,13500,22275,1650,48.44,0.39,36.89,3.87,0.42,6.91,0.01,0
Kaski,Maize,199596,15400,25450,1653,49.81,0.42,36.83,4.65,0.43,8.12,0.02,0
Kaski,Maize,199697,15450,23150,1498,45.44,0.31,36.65,0.29,0.38,6.67,0.02,0
Kaski,Maize,199798,15400,25410,1650,51.81,0.41,38.25,4.16,0.43,6.89,0.02,0
Kaski,Maize,199899,15500,24800,1600,45,0.34,37.21,5.07,0.4,6.79,0.03,0
Kaski,Maize,199900,15694,30502,1944,49.5,0.4,36.5,3.82,0.44,5.91,0.04,0
Kaski,Maize,200001,15805,32400,2050,49.62,0.39,36.48,2.43,0.43,6.12,0.02,0
Kaski,Maize,200102,15805,28450,1800,46.69,0.33,37.34,2.87,0.38,6.3,0.01,0
Kaski,Maize,200203,16000,31680,1980,49.25,0.38,36.66,2.19,0.41,5.7,0.01,0
Kaski,Maize,200304,16000,32160,2010,58.12,0.54,36.55,3.43,0.52,5.91,0.02,5.27
Kaski,Maize,200405,16035,32682,2038,57.56,0.57,37.98,4.25,0.57,7,0.01,5.27
Kaski,Maize,200506,16037,35684,2225,60.38,0.58,34.5,4.66,0.53,5.95,0.02,5.27
Kaski,Maize,200607,16310,36630,2246,62.38,0.61,34.9,2.48,0.59,5.22,0.01,5.27
Kaski,Maize,200708,16300,37910,2326,63.62,0.63,34.67,2.28,0.62,5.41,0.02,5.27
Kaski,Maize,200809,16300,41645,2555,56.38,0.55,35.14,4.27,0.52,6.72,0.02,5.27
Kaski,Maize,200910,16800,41200,2452,57.25,0.52,37.01,5.39,0.54,6.17,0.02,5.27
Kaski,Maize,201011,20800,52000,2500,62.75,0.6,33.64,4.03,0.58,5.49,0.01,5.27
Kaski,Maize,201112,14010,32943,2351,57.12,0.57,38.28,3.6,0.56,5.98,0.01,5.27
Kaski,Maize,201213,15573,42549,2732,66,0.67,34.83,-1.22,0.66,6.23,0.03,5.27
Kaski,Maize,201314,20573,52549,2554,62.62,0.67,35.74,4.59,0.65,6.3,0.04,5.27
Kaski,Wheat,197980,2750,3570,1298,59.38,0.6,36.98,3.71,0.56,6.31,0.04,5.27
Kaski,Wheat,198081,2900,3130,1079,55,0.5,35.91,3.42,0.47,6.01,0.03,0
Kaski,Wheat,198182,3700,4260,1151,49.06,0.4,38.98,2.84,0.42,7.74,0.03,0
Kaski,Wheat,198283,3700,5180,1400,50.88,0.47,38.17,3.18,0.48,6.43,0.02,0
Kaski,Wheat,198384,3700,4440,1200,53,0.46,37.25,4.9,0.47,6.65,0,0
Kaski,Wheat,198485,3500,4130,1180,47.88,0.41,36.37,4.46,0.43,6.48,0.02,0
Kaski,Wheat,198586,3700,4440,1200,48.5,0.44,37.71,4.52,0.45,5.97,0.02,0
Kaski,Wheat,198687,4000,5200,1300,52.75,0.49,38.06,5.67,0.48,5.81,0.02,5.27
Kaski,Wheat,198788,8730,10480,1200,48.25,0.41,38.12,2.28,0.44,7.13,0.03,0
Kaski,Wheat,198889,6900,9660,1400,53.44,0.48,37.65,3.56,0.51,6.42,0.02,0
Kaski,Wheat,199091,6530,9620,1473,47.25,0.38,37.31,3.23,0.41,5.9,0,0
Kaski,Wheat,199192,6850,9230,1347,47.44,0.39,36.87,3.59,0.43,8.16,0.01,0
Kaski,Wheat,199293,4199,9720,2315,46.31,0.38,37.81,2.58,0.41,6.53,0.02,0
Kaski,Wheat,199394,4300,6300,1465,45.31,0.35,38.08,3.93,0.41,6.32,0.02,0
Kaski,Wheat,199495,4530,6536,1443,48.44,0.39,36.89,3.87,0.42,6.91,0.01,0
Kaski,Wheat,199596,5030,8404,1671,49.81,0.42,36.83,4.65,0.43,8.12,0.02,0
Kaski,Wheat,199697,5200,8450,1625,45.44,0.31,36.65,0.29,0.38,6.67,0.02,0
Kaski,Wheat,199798,5563,8892,1598,51.81,0.41,38.25,4.16,0.43,6.89,0.02,0
Kaski,Wheat,199899,7000,9635,1376,45,0.34,37.21,5.07,0.4,6.79,0.03,0
Kaski,Wheat,199900,5563,9635,1732,49.5,0.4,36.5,3.82,0.44,5.91,0.04,0
Kaski,Wheat,200001,6415,11000,1715,49.62,0.39,36.48,2.43,0.43,6.12,0.02,0
Kaski,Wheat,200102,6415,11000,1715,46.69,0.33,37.34,2.87,0.38,6.3,0.01,0
Kaski,Wheat,200203,6500,15150,2331,49.25,0.38,36.66,2.19,0.41,5.7,0.01,0
Kaski,Wheat,200304,6500,15150,2331,58.12,0.54,36.55,3.43,0.52,5.91,0.02,5.27
Kaski,Wheat,200405,9091,18313,2014,57.56,0.57,37.98,4.25,0.57,7,0.01,5.27
Kaski,Wheat,200506,9278,19298,2080,60.38,0.58,34.5,4.66,0.53,5.95,0.02,5.27
Kaski,Wheat,200607,9278,18092.1,1950,62.38,0.61,34.9,2.48,0.59,5.22,0.01,5.27
Kaski,Wheat,200708,7922,15760,1989,63.62,0.63,34.67,2.28,0.62,5.41,0.02,5.27
Kaski,Wheat,200809,6900,13396,1941,56.38,0.55,35.14,4.27,0.52,6.72,0.02,5.27
Kaski,Wheat,200910,7600,7600,1000,57.25,0.52,37.01,5.39,0.54,6.17,0.02,5.27
Kaski,Wheat,201011,7000,14200,2029,62.75,0.6,33.64,4.03,0.58,5.49,0.01,5.27
Kaski,Wheat,201112,7130,14545,2040,57.12,0.57,38.28,3.6,0.56,5.98,0.01,5.27
Kaski,Wheat,201213,6821,16100,2360,66,0.67,34.83,-1.22,0.66,6.23,0.03,5.27
Kaski,Wheat,201314,6820,15503,2273,62.62,0.67,35.74,4.59,0.65,6.3,0.04,5.27
Bara,Paddy,197980,52410,106440,2031,57.19,0.52,43.69,8.33,6.99,6.99,0.05,5.27
Bara,Paddy,198081,52500,108900,2074,50.94,0.43,43.16,7.65,8.12,8.12,0.01,0
Bara,Paddy,198182,52200,140940,2700,42.5,0.31,46.73,7.26,8.39,8.39,0.02,0
Bara,Paddy,198283,49270,61950,1257,49,0.42,45.4,6.01,7.75,7.75,0.04,5.27
Bara,Paddy,198384,52200,162250,3108,52,0.46,44.11,6.35,7.63,7.63,0.05,5.27
Bara,Paddy,198485,56910,157500,2768,48.62,0.41,43.84,5.77,8.6,8.6,0.05,0
Bara,Paddy,198586,56740,164550,2900,51.06,0.46,44.92,6.37,7.84,7.84,0.02,5.27
Bara,Paddy,198687,56990,153140,2687,51.06,0.45,44.37,8.5,6.93,6.93,0.05,5.27
Bara,Paddy,198788,56980,179770,3155,43.69,0.35,44.98,5.57,8.01,8.01,0.01,0
Bara,Paddy,198889,61180,188910,3088,48,0.4,44.77,7.67,9.07,9.07,0.04,5.27
Bara,Paddy,199091,60220,181560,3015,42.12,0.31,45.5,7.58,7.48,7.48,0.02,0
Bara,Paddy,199192,58390,193560,3315,41.38,0.31,43.98,6.47,9.09,9.09,0.02,0
Bara,Paddy,199293,54300,165610,3050,43.12,0.34,45.73,7.09,8.11,8.11,0.02,0
Bara,Paddy,199394,58001,171099,2950,42,0.32,45.32,7.42,9.84,9.84,0.04,0
Bara,Paddy,199495,55970,142925,2554,45.56,0.36,45.22,7.51,8.15,8.15,0.04,0
Bara,Paddy,199596,55504,153857,2772,47.75,0.4,45.05,6.44,9.14,9.14,0.04,0
Bara,Paddy,199697,56100,155000,2763,45.69,0.35,45.08,6.11,8.31,8.31,0,0
Bara,Paddy,199798,56500,166675,2950,50.5,0.39,46.37,6.37,7.93,7.93,0.02,0
Bara,Paddy,199899,54400,159920,2940,43.94,0.32,45.01,8.13,9.45,9.45,0.03,0
Bara,Paddy,199900,55050,181170,3291,48.06,0.38,43.58,6.74,7.66,7.66,0.02,0
Bara,Paddy,200001,54405,181930,3344,49.19,0.39,44.44,5.62,9.42,9.42,0.03,0
Bara,Paddy,200102,55875,190199,3404,47.38,0.35,43.15,7.62,7.3,7.3,0.01,0
Bara,Paddy,200203,54600,205240,3759,49.38,0.37,43.93,6.05,7.39,7.39,0.05,0
Bara,Paddy,200304,54590,206500,3783,55.88,0.48,44.11,7.22,7.95,7.95,0.02,5.27
Bara,Paddy,200405,53087,200940,3785,55.19,0.48,44.87,8.33,8.35,8.35,0.02,5.27
Bara,Paddy,200506,54500,200230,3674,56.88,0.49,42.07,7.53,7.62,7.62,0.01,5.27
Bara,Paddy,200607,51728,186220.8,3600,61.19,0.55,42.19,5.49,7.5,7.5,0.02,5.27
Bara,Paddy,200708,54878,205710,3748,62.44,0.58,41.57,6.56,6.39,6.39,0.03,5.27
Bara,Paddy,200809,55335,213565,3859,52.94,0.45,43.25,6.58,7.7,7.7,0.02,5.27
Bara,Paddy,200910,52615,183946,3496,54.81,0.45,43.69,6.29,7.45,7.45,0.01,5.27
Bara,Paddy,201011,52725,168720,3200,59.19,0.52,40.78,5.23,7.39,7.39,0.02,5.27
Bara,Paddy,201112,52700,221340,4200,55.06,0.45,45.41,4.72,7.35,7.35,0.03,5.27
Bara,Paddy,201213,53400,231880,4342,61.56,0.54,42.44,1.66,7.26,7.26,0.02,5.27
Bara,Paddy,201314,54680,259781,4751,59.5,0.53,43.72,6.51,7.69,7.69,0.03,5.27
Bara,Millet,197980,200,190,950,57.19,0.52,43.69,8.33,6.99,6.99,0.05,5.27
Bara,Millet,198081,210,200,952,50.94,0.43,43.16,7.65,8.12,8.12,0.01,0
Bara,Millet,198182,210,200,952,42.5,0.31,46.73,7.26,8.39,8.39,0.02,0
Bara,Millet,198283,70,60,857,49,0.42,45.4,6.01,7.75,7.75,0.04,5.27
Bara,Millet,198384,100,100,1000,52,0.46,44.11,6.35,7.63,7.63,0.05,5.27
Bara,Millet,198485,110,110,1000,48.62,0.41,43.84,5.77,8.6,8.6,0.05,0
Bara,Millet,198586,110,110,1000,51.06,0.46,44.92,6.37,7.84,7.84,0.02,5.27
Bara,Millet,198687,90,90,1000,51.06,0.45,44.37,8.5,6.93,6.93,0.05,5.27
Bara,Millet,198788,100,100,1000,43.69,0.35,44.98,5.57,8.01,8.01,0.01,0
Bara,Millet,198889,110,110,1000,48,0.4,44.77,7.67,9.07,9.07,0.04,5.27
Bara,Millet,199091,180,200,1111,42.12,0.31,45.5,7.58,7.48,7.48,0.02,0
Bara,Millet,199192,160,190,1188,41.38,0.31,43.98,6.47,9.09,9.09,0.02,0
Bara,Millet,199293,200,240,1200,43.12,0.34,45.73,7.09,8.11,8.11,0.02,0
Bara,Millet,199394,160,210,1313,42,0.32,45.32,7.42,9.84,9.84,0.04,0
Bara,Millet,199495,100,110,1100,45.56,0.36,45.22,7.51,8.15,8.15,0.04,0
Bara,Millet,199596,200,240,1200,47.75,0.4,45.05,6.44,9.14,9.14,0.04,0
Bara,Millet,199697,120,120,1000,45.69,0.35,45.08,6.11,8.31,8.31,0,0
Bara,Millet,199798,100,120,1200,50.5,0.39,46.37,6.37,7.93,7.93,0.02,0
Bara,Millet,199899,100,120,1200,43.94,0.32,45.01,8.13,9.45,9.45,0.03,0
Bara,Millet,199900,125,100,800,48.06,0.38,43.58,6.74,7.66,7.66,0.02,0
Bara,Millet,200001,100,130,1300,49.19,0.39,44.44,5.62,9.42,9.42,0.03,0
Bara,Millet,200102,125,125,1000,47.38,0.35,43.15,7.62,7.3,7.3,0.01,0
Bara,Millet,200203,102,102,1000,49.38,0.37,43.93,6.05,7.39,7.39,0.05,0
Bara,Millet,200304,105,76,724,55.88,0.48,44.11,7.22,7.95,7.95,0.02,5.27
Bara,Millet,200405,102,76,745,55.19,0.48,44.87,8.33,8.35,8.35,0.02,5.27
Bara,Millet,200506,100,112,1120,56.88,0.49,42.07,7.53,7.62,7.62,0.01,5.27
Bara,Millet,200607,73,93,1274,61.19,0.55,42.19,5.49,7.5,7.5,0.02,5.27
Bara,Millet,200708,70,80,1143,62.44,0.58,41.57,6.56,6.39,6.39,0.03,5.27
Bara,Millet,200809,75,100,1333,52.94,0.45,43.25,6.58,7.7,7.7,0.02,5.27
Bara,Millet,200910,78,101,1295,54.81,0.45,43.69,6.29,7.45,7.45,0.01,5.27
Bara,Millet,201011,78,85,1090,59.19,0.52,40.78,5.23,7.39,7.39,0.02,5.27
Bara,Millet,201112,77,98.56,1280,55.06,0.45,45.41,4.72,7.35,7.35,0.03,5.27
Bara,Millet,201213,70,91,1300,61.56,0.54,42.44,1.66,7.26,7.26,0.02,5.27
Bara,Millet,201314,78,105,1346,59.5,0.53,43.72,6.51,7.69,7.69,0.03,5.27
Bara,Barley,197980,1250,1030,824,57.19,0.52,43.69,8.33,6.99,6.99,0.05,5.27
Bara,Barley,198081,280,250,893,50.94,0.43,43.16,7.65,8.12,8.12,0.01,0
Bara,Barley,198182,190,190,1000,42.5,0.31,46.73,7.26,8.39,8.39,0.02,0
Bara,Barley,198283,110,110,1000,49,0.42,45.4,6.01,7.75,7.75,0.04,5.27
Bara,Barley,198384,120,120,1000,52,0.46,44.11,6.35,7.63,7.63,0.05,5.27
Bara,Barley,198485,470,420,894,48.62,0.41,43.84,5.77,8.6,8.6,0.05,0
Bara,Barley,198586,180,160,889,51.06,0.46,44.92,6.37,7.84,7.84,0.02,5.27
Bara,Barley,198687,170,160,941,51.06,0.45,44.37,8.5,6.93,6.93,0.05,5.27
Bara,Barley,198788,190,190,1000,43.69,0.35,44.98,5.57,8.01,8.01,0.01,0
Bara,Barley,198889,100,100,1000,48,0.4,44.77,7.67,9.07,9.07,0.04,5.27
Bara,Barley,199091,110,100,909,42.12,0.31,45.5,7.58,7.48,7.48,0.02,0
Bara,Barley,199192,100,110,1100,41.38,0.31,43.98,6.47,9.09,9.09,0.02,0
Bara,Barley,199293,110,90,818,43.12,0.34,45.73,7.09,8.11,8.11,0.02,0
Bara,Barley,199394,110,109,991,42,0.32,45.32,7.42,9.84,9.84,0.04,0
Bara,Barley,199495,110,109,991,45.56,0.36,45.22,7.51,8.15,8.15,0.04,0
Bara,Barley,199596,102,90,882,47.75,0.4,45.05,6.44,9.14,9.14,0.04,0
Bara,Barley,199697,100,91,910,45.69,0.35,45.08,6.11,8.31,8.31,0,0
Bara,Barley,199798,109,90,826,50.5,0.39,46.37,6.37,7.93,7.93,0.02,0
Bara,Barley,199899,100,73,730,43.94,0.32,45.01,8.13,9.45,9.45,0.03,0
Bara,Barley,199900,105,80,762,48.06,0.38,43.58,6.74,7.66,7.66,0.02,0
Bara,Barley,200001,105,80,762,49.19,0.39,44.44,5.62,9.42,9.42,0.03,0
Bara,Barley,200102,100,80,800,47.38,0.35,43.15,7.62,7.3,7.3,0.01,0
Bara,Barley,200203,105,80,762,49.38,0.37,43.93,6.05,7.39,7.39,0.05,0
Bara,Barley,200304,105,80,762,55.88,0.48,44.11,7.22,7.95,7.95,0.02,5.27
Bara,Barley,200405,100,75,750,55.19,0.48,44.87,8.33,8.35,8.35,0.02,5.27
Bara,Barley,200506,70,70,1000,56.88,0.49,42.07,7.53,7.62,7.62,0.01,5.27
Bara,Barley,200607,68,75,1103,61.19,0.55,42.19,5.49,7.5,7.5,0.02,5.27
Bara,Barley,200708,68,66,971,62.44,0.58,41.57,6.56,6.39,6.39,0.03,5.27
Bara,Barley,200809,68,66,971,52.94,0.45,43.25,6.58,7.7,7.7,0.02,5.27
Bara,Barley,200910,68,66,971,54.81,0.45,43.69,6.29,7.45,7.45,0.01,5.27
Bara,Barley,201011,68,66,971,59.19,0.52,40.78,5.23,7.39,7.39,0.02,5.27
Bara,Barley,201112,72,64,889,55.06,0.45,45.41,4.72,7.35,7.35,0.03,5.27
Bara,Barley,201213,72,63,875,61.56,0.54,42.44,1.66,7.26,7.26,0.02,5.27
Bara,Barley,201314,85,90,1059,59.5,0.53,43.72,6.51,7.69,7.69,0.03,5.27
Bara,Maize,197980,140,210,1500,57.19,0.52,43.69,8.33,6.99,6.99,0.05,5.27
Bara,Maize,198081,450,810,1800,50.94,0.43,43.16,7.65,8.12,8.12,0.01,0
Bara,Maize,198182,3500,7000,2000,42.5,0.31,46.73,7.26,8.39,8.39,0.02,0
Bara,Maize,198283,3370,9590,2846,49,0.42,45.4,6.01,7.75,7.75,0.04,5.27
Bara,Maize,198384,6150,18400,2992,52,0.46,44.11,6.35,7.63,7.63,0.05,5.27
Bara,Maize,198485,5490,13270,2417,48.62,0.41,43.84,5.77,8.6,8.6,0.05,0
Bara,Maize,198586,5570,13170,2364,51.06,0.46,44.92,6.37,7.84,7.84,0.02,5.27
Bara,Maize,198687,5600,13250,2366,51.06,0.45,44.37,8.5,6.93,6.93,0.05,5.27
Bara,Maize,198788,6430,12030,1871,43.69,0.35,44.98,5.57,8.01,8.01,0.01,0
Bara,Maize,198889,8040,18800,2338,48,0.4,44.77,7.67,9.07,9.07,0.04,5.27
Bara,Maize,199091,6450,18320,2840,42.12,0.31,45.5,7.58,7.48,7.48,0.02,0
Bara,Maize,199192,6350,18020,2838,41.38,0.31,43.98,6.47,9.09,9.09,0.02,0
Bara,Maize,199293,6500,19170,2949,43.12,0.34,45.73,7.09,8.11,8.11,0.02,0
Bara,Maize,199394,6580,19080,2900,42,0.32,45.32,7.42,9.84,9.84,0.04,0
Bara,Maize,199495,6473,14377,2221,45.56,0.36,45.22,7.51,8.15,8.15,0.04,0
Bara,Maize,199596,6480,18546,2862,47.75,0.4,45.05,6.44,9.14,9.14,0.04,0
Bara,Maize,199697,7100,19880,2800,45.69,0.35,45.08,6.11,8.31,8.31,0,0
Bara,Maize,199798,6650,18890,2841,50.5,0.39,46.37,6.37,7.93,7.93,0.02,0
Bara,Maize,199899,6500,17650,2715,43.94,0.32,45.01,8.13,9.45,9.45,0.03,0
Bara,Maize,199900,3125,7000,2240,48.06,0.38,43.58,6.74,7.66,7.66,0.02,0
Bara,Maize,200001,3050,5600,1836,49.19,0.39,44.44,5.62,9.42,9.42,0.03,0
Bara,Maize,200102,3125,7000,2240,47.38,0.35,43.15,7.62,7.3,7.3,0.01,0
Bara,Maize,200203,3050,5490,1800,49.38,0.37,43.93,6.05,7.39,7.39,0.05,0
Bara,Maize,200304,3000,5225,1742,55.88,0.48,44.11,7.22,7.95,7.95,0.02,5.27
Bara,Maize,200405,3110,5225,1680,55.19,0.48,44.87,8.33,8.35,8.35,0.02,5.27
Bara,Maize,200506,3150,5292,1680,56.88,0.49,42.07,7.53,7.62,7.62,0.01,5.27
Bara,Maize,200607,3150,6300,2000,61.19,0.55,42.19,5.49,7.5,7.5,0.02,5.27
Bara,Maize,200708,3100,5910,1906,62.44,0.58,41.57,6.56,6.39,6.39,0.03,5.27
Bara,Maize,200809,3100,6900,2226,52.94,0.45,43.25,6.58,7.7,7.7,0.02,5.27
Bara,Maize,200910,3100,6900,2226,54.81,0.45,43.69,6.29,7.45,7.45,0.01,5.27
Bara,Maize,201011,7500,21000,2800,59.19,0.52,40.78,5.23,7.39,7.39,0.02,5.27
Bara,Maize,201112,7500,30750,4100,55.06,0.45,45.41,4.72,7.35,7.35,0.03,5.27
Bara,Maize,201213,5150,21120,4101,61.56,0.54,42.44,1.66,7.26,7.26,0.02,5.27
Bara,Maize,201314,13478,86260,6400,59.5,0.53,43.72,6.51,7.69,7.69,0.03,5.27
Bara,Wheat,197980,19380,25190,1300,57.19,0.52,43.69,8.33,6.99,6.99,0.05,5.27
Bara,Wheat,198081,22860,29720,1300,50.94,0.43,43.16,7.65,8.12,8.12,0.01,0
Bara,Wheat,198182,22330,37070,1660,42.5,0.31,46.73,7.26,8.39,8.39,0.02,0
Bara,Wheat,198283,24300,41300,1700,49,0.42,45.4,6.01,7.75,7.75,0.04,5.27
Bara,Wheat,198384,24910,42350,1700,52,0.46,44.11,6.35,7.63,7.63,0.05,5.27
Bara,Wheat,198485,22410,34290,1530,48.62,0.41,43.84,5.77,8.6,8.6,0.05,0
Bara,Wheat,198586,22400,40320,1800,51.06,0.46,44.92,6.37,7.84,7.84,0.02,5.27
Bara,Wheat,198687,22890,45550,1990,51.06,0.45,44.37,8.5,6.93,6.93,0.05,5.27
Bara,Wheat,198788,23280,41900,1800,43.69,0.35,44.98,5.57,8.01,8.01,0.01,0
Bara,Wheat,198889,23210,42300,1822,48,0.4,44.77,7.67,9.07,9.07,0.04,5.27
Bara,Wheat,199091,22170,42700,1926,42.12,0.31,45.5,7.58,7.48,7.48,0.02,0
Bara,Wheat,199192,24410,40500,1659,41.38,0.31,43.98,6.47,9.09,9.09,0.02,0
Bara,Wheat,199293,24750,39050,1578,43.12,0.34,45.73,7.09,8.11,8.11,0.02,0
Bara,Wheat,199394,25300,43312,1712,42,0.32,45.32,7.42,9.84,9.84,0.04,0
Bara,Wheat,199495,27000,45034,1668,45.56,0.36,45.22,7.51,8.15,8.15,0.04,0
Bara,Wheat,199596,26500,50220,1895,47.75,0.4,45.05,6.44,9.14,9.14,0.04,0
Bara,Wheat,199697,24775,50350,2032,45.69,0.35,45.08,6.11,8.31,8.31,0,0
Bara,Wheat,199798,23725,47195,1989,50.5,0.39,46.37,6.37,7.93,7.93,0.02,0
Bara,Wheat,199899,23500,52800,2247,43.94,0.32,45.01,8.13,9.45,9.45,0.03,0
Bara,Wheat,199900,25500,61506,2412,48.06,0.38,43.58,6.74,7.66,7.66,0.02,0
Bara,Wheat,200001,27200,64714,2379,49.19,0.39,44.44,5.62,9.42,9.42,0.03,0
Bara,Wheat,200102,27300,66520,2437,47.38,0.35,43.15,7.62,7.3,7.3,0.01,0
Bara,Wheat,200203,27500,60763,2210,49.38,0.37,43.93,6.05,7.39,7.39,0.05,0
Bara,Wheat,200304,27500,74525,2710,55.88,0.48,44.11,7.22,7.95,7.95,0.02,5.27
Bara,Wheat,200405,29000,79750,2750,55.19,0.48,44.87,8.33,8.35,8.35,0.02,5.27
Bara,Wheat,200506,28545,81067.8,2840,56.88,0.49,42.07,7.53,7.62,7.62,0.01,5.27
Bara,Wheat,200607,28945,89440.05,3090,61.19,0.55,42.19,5.49,7.5,7.5,0.02,5.27
Bara,Wheat,200708,28995,92985,3207,62.44,0.58,41.57,6.56,6.39,6.39,0.03,5.27
Bara,Wheat,200809,28900,88900,3076,52.94,0.45,43.25,6.58,7.7,7.7,0.02,5.27
Bara,Wheat,200910,28900,92900,3215,54.81,0.45,43.69,6.29,7.45,7.45,0.01,5.27
Bara,Wheat,201011,29000,96900,3341,59.19,0.52,40.78,5.23,7.39,7.39,0.02,5.27
Bara,Wheat,201112,29000,92800,3200,55.06,0.45,45.41,4.72,7.35,7.35,0.03,5.27
Bara,Wheat,201213,29200,94600,3240,61.56,0.54,42.44,1.66,7.26,7.26,0.02,5.27
Bara,Wheat,201314,29100,93600,3216,59.5,0.53,43.72,6.51,7.69,7.69,0.03,5.27
Sarlahi,Paddy,197980,34670,54840,1582,57.44,0.52,41.79,7.94,0.53,6.82,0.03,5.27
Sarlahi,Paddy,198081,33680,63650,1890,51.25,0.44,41.79,7.17,0.45,7.63,0.04,0
Sarlahi,Paddy,198182,38870,73850,1900,43.38,0.33,45.03,6.9,0.41,8.08,0.09,0
Sarlahi,Paddy,198283,44000,29580,672,49.75,0.44,43.92,6.44,0.48,7.3,0.04,5.27
Sarlahi,Paddy,198384,46740,91940,1967,52.56,0.46,42.5,6.49,0.52,7.07,0.03,5.27
Sarlahi,Paddy,198485,52630,103330,1963,49.56,0.43,42.01,6.15,0.46,8.22,0.02,0
Sarlahi,Paddy,198586,52900,105800,2000,51.75,0.47,43.73,6.55,0.52,7.32,0.01,5.27
Sarlahi,Paddy,198687,50170,78300,1561,51.88,0.46,42.73,8.19,0.48,7.42,0.02,5.27
Sarlahi,Paddy,198788,52580,107410,2043,44.5,0.36,44.12,5.34,0.42,7.73,0.03,0
Sarlahi,Paddy,198889,53070,123150,2321,48.5,0.4,43.01,7.48,0.46,8.79,0.02,0
Sarlahi,Paddy,199091,48650,120430,2475,42.88,0.32,44.39,7.58,0.41,7.35,0.02,0
Sarlahi,Paddy,199192,48660,112690,2316,41.75,0.32,42.25,6.1,0.41,9.27,0.05,0
Sarlahi,Paddy,199293,43900,85600,1950,44.06,0.35,44.01,6.84,0.41,7.76,0.04,0
Sarlahi,Paddy,199394,40000,88001,2200,41.94,0.32,43.21,8.67,0.41,9.15,0.04,0
Sarlahi,Paddy,199495,37315,72764,1950,45.94,0.37,43.81,8.01,0.44,8,0.02,0
Sarlahi,Paddy,199596,46071,105324,2286,47.19,0.39,43.43,7.28,0.45,8.34,0.03,0
Sarlahi,Paddy,199697,46830,107770,2301,45.69,0.36,43.39,6.37,0.43,8.15,0.03,0
Sarlahi,Paddy,199798,46830,107770,2301,50.12,0.38,44.67,6.44,0.44,7.93,0.02,0
Sarlahi,Paddy,199899,44446,89025,2003,44.19,0.33,43.51,8.3,0.41,8.18,0.05,0
Sarlahi,Paddy,199900,44215,110802,2506,48.38,0.38,42.48,7.21,0.45,7.37,0.02,0
Sarlahi,Paddy,200001,44115,114743,2601,49.06,0.38,42.44,6.53,0.45,8.92,0.02,0
Sarlahi,Paddy,200102,44215,123925,2803,48.56,0.37,41.84,7.66,0.41,6.71,0.05,0
Sarlahi,Paddy,200203,42831,106649,2490,50.25,0.38,42.27,6.12,0.43,6.66,0.05,0
Sarlahi,Paddy,200304,42831,114747,2679,57.12,0.5,42.23,6.64,0.52,7.06,0,5.27
Sarlahi,Paddy,200405,37821,97196,2570,55.25,0.48,43.24,8.17,0.5,7.97,0.02,5.27
